6841,"FILLY-B's!!!!!  only 8 reviews?? NINE now!!!

wow do i miss THIS place:

- 24hrs
- drive-thru or walk up only
- ridiculously cheap
- ridiculously tasty

of course the arizona burritos are good, everything is good. i used to LOVE one of the combos... you get a beef burrito, taco, rice and beans... for UNDER $6.  wow.  color me silly and call me sally. they have bomb horchata too.

really good and fresh flautas/rolled tacos and breakfast burritos. damn, everything here is good, whether drunk or sober."
1728,"My husband and I absolutely LOVE this restaurant! Anytime I find myself craving Mexican food, the first place that pops in my head is Salsa Blanca. We have always encountered friendly, welcoming staff and amazing, fulfilling food. What more could you ask for?!"
3853,We went today after lunch. I got my usual of lime basil and real mint chip (which I love for the real mint leaves) and my hubby got chocolate guiness and four peaks hop knot. Best ice cream in Phoenix! The staff is always super nice. They give us ice bags to take our ice cream home :-)  Love this place
671,"Totally dissapointed.  I had purchased a coupon from TravelZoo, to try out this restaurant, which given its location I would have thought it was going to be very upscale and we were expecting a WHOLE LOT MORE.  
The Service was great, but the food, not worth it.  The restaurant itself is very outdated, very 80's.  
My husband and I had the crab cakes for appertizer.  They were cold when they were served.  We told our waiter, who in turn told the chef, and the message was passed back to us, that she appologized.   
My Husband ordred a 12oz New York Strip ala carte for $29.95, 6 oz of that was pure fat!  and for the price you would expect to get more meat than fat!  I ordered a wild mushroom pizza, which was OK.   This place needs an over haul in a major way, if they want to make any money at the restaurant, which for a Saturday night at 7pm when we went, was empty.  I think the highlight of the meal was the bottle of cabinet!"
4920,"Costco Travel - My husband and I recently returned from a trip to the Big Island, HI that we arranged throught Costco Travel. After shopping around I found that their prices were the best and after one phone call I was able to make all arrangements for airfair, condo and car. They didn't have arrangements with any B&Bs on Hilo but were able to adjust our travel dates. Everything went according to plan with all arrangements being accurate. Condo was outstanding and a great value. We got gas and did some souvenier shopping at the Costco in Kona and again saved $$.   I've shopped at Costco for years - now becoming a groupie!"
2726,"Not good. And it's not been for a couple of years. There are advantages: good location, rarely busy, good for larger groups. But last few times we've been there have experienced average food and lousy service.  When joining my already seated group on Saturday (3/28) the high-school hostess wagged her finger in my face like an East German border guard, the waffle house waitress poked me in the shoulder to get my attention and the wife's chicken dish had to be sent back as there were only 2 measly pieces of chicken in it.  Only 2 beers on tap. Garbage."
4484,"Best muffler shop in town. There are VERY few shops that I trust, and Mighty Muffler is one of them.  Greg has worked on multiple cars and has always done a great job.  If there is ever any issues he takes care of the problem, no questions asked."
3607,"I would just like to start off by saying that I love egg salad sandwiches. I have probably tried an egg salad sandwich anywhere that serves egg salad. Sacks is BY FAR, the BEST egg salad sandwich (entitled ""The Dali"") I have ever had in my life. I live in North Phoenix and I will literally drive many miles just to eat at Sacks. On top of the wonderful menu, whenever you order a sandwich from them, the meal comes with a little chocolate chip cookie, which is amazing all in itself. If you like their cookies, you can purchase the cookie dough. They also make other delicious dessert bars and salads that are for sale as well. I have been eating here for at least 14 years, and I hope they NEVER go away!"
5559,"Saw this place on Triple D so I decided to give her try. My expectations were high and when I arrived I was shocked that on a Thursday morning the line was extra extra long. Had to wait patiently which when it comes to food I don't like. 

But needless to say the wait was worth it because when I got in there I was served quickly. I ordered the pork chop, eggs, and hash browns.  The pork chop there is fabulous and the toast and home made grape jelly was good. 

I would recommend this place for breakfast to anyone who is in the downtown area of Phoenix. Make sure to try the bacon too."
1115,"We decided to hit up the ""Wine Down Wednesday"" that was happenin' at Tastings courtesy of KYOT.  Here's what went wrong:

The event is from 6-8 so we arrived just a few minutes (3 maybe?) after 6 so we could get a spot just in case it was hoppin'.  We walked in and the hostess (she looks like she's possibly the manager or owner) asked if we were there for the event and then pointed us towards the back room where the event was being held.

We walked in and there were about 7 tables and there were people at them all already.  Talk about early bird gets the worm!  We had to wait for about 3-4 minutes for the waitress to finish with a table to find out if we could sit on the patio for the event.  She said yes and that she would be right out to help us.  In the meantime another woman and her friend also took up at a patio table nearby.

20 minutes later the hostess/owner/manager looking woman came out and asked if we had been helped yet.  We said no and she left only to return with a small happy hour flier menu which she just handed from a distance and didn't even come over to our table.  I know you're wondering why I would wait the 15 minutes, but I really wanted to see just how bad the service was going to be and frankly, I just wanted some good $2 wine.

It's been about 5 minutes and the same woman comes back with full, detailed menus and I asked if the happy hour flier was the deals for the event and she said yes and then asked if we were ready to order.  Um, you just gave us the menus 10 seconds ago...

By now I'm ready to just order and enjoy the meal deals from the event.  I look over the happy hour flier and I see some app deals.  They said there was a specialty appetizer menu.  Not so much, but whatever.  I can deal with that.  Then I see the drink section.  The claim for the event was $2 glasses of wine.  I was excited to try some nice new wines on the cheap, but again... not so much.  In reality it was $4 glasses of house wine which only consisted of three different wines that weren't really what I was looking for.  By now, the other women that were outside decided to leave having had enough of this shenanigans.  We decided (after 30 minutes since we arrived) to go next door to Sprouts, get some apps, and have our own ""Wine Down Wednesday"" at home.

I bet there are plenty of people that will have good experiences here and continue to visit happily, but this one experience has caused me to write them off for good (which I don't usually do after one instance).  I wish that I could actually review their wine and food, but the service was so poor and substandard that it's not worth giving them my money.  I understand if the food isn't good at a restaurant - some are just better or more talented than others.  However, any business can and should have good customer service.  I think this is where the cliched line of ""if I could give them less than 1 star I would"" comes in...

Oh yeah, and I slapped down a ""You've been Yelped"" card as I left.

Take that Tastings!!"
